,Artist,Name,Genre,Peak.position,Weeks.on.chart,Avg.rank,Date,Energy,Danceability,Tempo,Valence
0,"""WEIRD AL"" YANKOVIC",CANADIAN IDIOT,"COMEDY,PARODY,ROCK",82.0,3.0,91.33333333333333,2006,0.697,0.543,185.978,0.861
1,"""WEIRD AL"" YANKOVIC",WORD CRIMES,"PARODY,COMEDY,POP",39.0,2.0,65.0,2014,0.43,0.897,121.987,0.964
2,'N SYNC,BYE BYE BYE,"ADULT CONTEMPORARY,DANCE-POP,TEEN POP,BOY BAND,POP",4.0,23.0,14.26086956521739,2000,0.926,0.61,172.638,0.861
3,'N SYNC,GONE,"ADULT CONTEMPORARY,ACOUSTIC,SOUL POP,R&;B,BOY BAND,POP",11.0,24.0,27.125,2001,0.409,0.704,113.863,0.495
4,'N SYNC,IT'S GONNA BE ME,"MEMES,DANCE-POP,TEEN POP,BOY BAND,POP",1.0,25.0,21.68,2000,0.873,0.636,165.071,0.908
5,'N SYNC,POP,"ELECTRO-POP,ELECTRONIC,BOY BAND,POP",19.0,15.0,47.8,2001,0.861,0.706,119.946,0.923
6,'N SYNC,THIS I PROMISE YOU,"BALLAD,ADULT CONTEMPORARY,NEO SOUL,SOUL POP,SOUL,R&;B,BOY BAND,POP",5.0,26.0,19.96,2000,0.587,0.55,165.975,0.466
7,"'N SYNC, GLORIA ESTEFAN",MUSIC OF MY HEART,POP,2.0,20.0,53.9,1999,0.569,0.568,112.052,0.421
8,10 YEARS,WASTELAND,"ALTERNATIVE METAL,ROCK",94.0,2.0,94.5,2005,0.783,0.409,145.541,0.313
9,112,ANYWHERE,"R&;B,RAP",15.0,25.0,36.25,1999,0.499,0.592,125.824,0.863
10,112,DANCE WITH ME,RAP,39.0,20.0,58.95,1999,0.927,0.481,96.39,0.371
11,112,IT'S OVER NOW,R&;B,6.0,20.0,44.4,2001,0.71,0.66,97.988,0.233
12,112,NA NA NA,"DANCEHALL,R&;B",75.0,6.0,82.83333333333333,2003,0.446,0.743,123.596,0.278
13,112,PEACHES & CREAM,R&;B,4.0,29.0,21.357142857142858,2001,0.52,0.677,203.862,0.768
14,17,NC,"TRAP,RAP",100.0,1.0,41.0,2018,0.763,0.804,136.052,0.0585
15,2 CHAINZ,4 AM,"ATLANTA,TRAP,RAP",55.0,12.0,78.66666666666667,2017,0.5,0.796,75.012,0.227
16,2 CHAINZ,BIRTHDAY SONG,"TRAP,RAP",47.0,20.0,63.55,2012,0.59,0.753,140.002,0.161
17,2 CHAINZ,FEDS WATCHING,RAP,66.0,13.0,74.84615384615384,2013,0.875,0.79,139.985,0.759
18,2 CHAINZ,GOTTA LOTTA,RAP,100.0,1.0,100.0,2016,0.599,0.512,109.345,0.146
19,2 CHAINZ,I DO IT,RAP,100.0,1.0,94.0,2013,0.451,0.804,178.061,0.19
20,2 CHAINZ,I'M DIFFERENT,"HYPHY,WEST COAST,RAP",27.0,20.0,49.45,2012,0.779,0.697,110.035,0.643
21,2 CHAINZ,IT'S A VIBE,"DMV,WEST COAST,TRAP,R&;B,RAP",44.0,20.0,60.75,2017,0.502,0.822,73.003,0.525
22,2 CHAINZ,MOMMA I HIT A LICK,"WEST COAST,RAP",100.0,1.0,100.0,2019,0.467,0.796,179.974,0.4
23,2 CHAINZ,NO LIE,"CANADA,TRAP,RAP",24.0,26.0,39.96153846153846,2012,0.665,0.634,131.108,0.611
24,2 CHAINZ,PROUD,"WEST COAST,MOTOWN,TRAP,RAP",96.0,2.0,97.5,2018,0.813,0.791,173.937,0.907
25,2 CHAINZ,RULE THE WORLD,"R&;B,RAP",94.0,2.0,96.0,2019,0.584,0.592,88.073,0.447
26,2 CHAINZ,WATCH OUT,RAP,64.0,11.0,84.36363636363636,2015,0.504,0.899,129.89,0.537
27,2 CHAINZ,WHIP,RAP,100.0,1.0,75.0,2019,0.527,0.814,170.063,0.54
28,2 CHAINZ,YUCK!,RAP,100.0,1.0,80.0,2012,0.885,0.638,149.929,0.436
29,"2 CHAINZ, GUCCI MANE, QUAVO",GOOD DRANK,"ATLANTA,TRAP,RAP",70.0,16.0,89.6875,2016,0.527,0.774,103.093,0.39
30,"2 CHAINZ, WIZ KHALIFA",WE OWN IT,"EAST COAST,SOUNDTRACK,RAP",16.0,7.0,56.0,2013,0.899,0.554,171.966,0.552
31,2 PISTOLS,SHE GOT IT,RAP,24.0,20.0,46.3,2008,0.745,0.53,134.068,0.269
32,21 SAVAGE,1.5,"MOTOWN,TRAP,RAP",100.0,1.0,86.0,2018,0.52,0.885,84.022,0.306
33,21 SAVAGE,A LOT,"EAST COAST,TRAP,RAP",12.0,23.0,26.91304347826087,2018,0.636,0.837,145.972,0.274
34,21 SAVAGE,ASMR,"TRAP,RAP",100.0,1.0,95.0,2018,0.543,0.84,170.067,0.161
35,21 SAVAGE,ALL MY FRIENDS,"TRAP,RAP",67.0,2.0,82.0,2018,0.62,0.713,130.09,0.206
36,21 SAVAGE,BANK ACCOUNT,"MEMES,TRAP,RAP",12.0,29.0,21.25,2017,0.346,0.884,75.016,0.376
37,21 SAVAGE,BREAK DA LAW,"TRAP,RAP",100.0,1.0,70.0,2018,0.575,0.904,141.037,0.359
38,21 SAVAGE,CAN'T LEAVE WITHOUT IT,"MOTOWN,TRAP,RAP",58.0,4.0,71.5,2018,,,,
39,21 SAVAGE,FAMOUS,"TRAP,RAP",100.0,1.0,94.0,2017,0.863,0.635,94.945,0.654
40,21 SAVAGE,GUN SMOKE,"TRAP,RAP",100.0,1.0,93.0,2018,0.461,0.809,85.992,0.325
41,21 SAVAGE,MONSTER,"ATLANTA,HIP-HOP,TRAP,RAP",73.0,3.0,80.33333333333333,2018,0.9,0.487,149.959,0.377
42,21 SAVAGE,OUT FOR THE NIGHT,"TRAP,RAP",100.0,1.0,88.0,2018,0.632,0.593,173.369,0.0789
43,21 SAVAGE,RED OPPS,"TRAP,RAP",74.0,5.0,78.8,2015,0.709,0.703,140.998,0.569
44,"21 SAVAGE, METRO BOOMIN",NO HEART,"ATLANTA,MEMES,TRAP,RAP",43.0,19.0,63.94736842105263,2016,0.444,0.906,140.063,0.678
45,"21 SAVAGE, METRO BOOMIN",X,"ATLANTA,TRAP,RAP",36.0,21.0,51.23809523809524,2016,0.413,0.835,149.004,0.111
46,"21 SAVAGE, OFFSET, METRO BOOMIN",GHOSTFACE KILLERS,"ATLANTA,TRAP,RAP",35.0,7.0,65.71428571428571,2017,0.435,0.782,82.996,0.242
47,"21 SAVAGE, OFFSET, METRO BOOMIN",MAD STALKERS,"MOTOWN,TRAP,RAP",100.0,1.0,99.0,2017,0.365,0.9,135.004,0.136
48,"21 SAVAGE, OFFSET, METRO BOOMIN",RAP SAVED ME,"MOTOWN,TRAP,RAP",64.0,3.0,75.33333333333333,2017,0.399,0.845,143.049,0.148
49,2PAC,STILL BALLIN,"REMIX,GANGSTA RAP,RAP",69.0,20.0,87.75,2002,0.721,0.941,99.042,0.707
50,2PAC,THUGS GET LONELY TOO,"REMIX,GANGSTA RAP,WEST COAST,RAP",98.0,4.0,99.0,2004,0.881,0.824,82.013,0.742
51,2PAC,THUGZ MANSION,"REMIX,R&;B,SOUL,RAP",19.0,20.0,41.5,2002,0.639,0.703,87.908,0.893
52,2PAC,UNTIL THE END OF TIME,"REMIX,POP,R&;B,RAP",52.0,14.0,72.71428571428571,2001,0.706,0.757,96.976,0.375
53,3 DOORS DOWN,AWAY FROM THE SUN,ROCK,62.0,15.0,74.73333333333333,1999,0.676,0.514,174.859,0.723
54,3 DOORS DOWN,BE LIKE THAT,"POST-GRUNGE,ALTERNATIVE ROCK,ROCK",24.0,21.0,43.45,2001,0.489,0.543,142.02,0.252
55,3 DOORS DOWN,CITIZEN/SOLDIER,"POST-GRUNGE,MILITARY,ROCK",96.0,2.0,97.5,2007,0.821,0.631,97.003,0.486
56,3 DOORS DOWN,HERE WITHOUT YOU,"POST-GRUNGE,ROCK",5.0,51.0,23.76,2002,0.533,0.557,143.994,0.233
57,3 DOORS DOWN,IT'S NOT MY TIME,ROCK,17.0,29.0,44.93103448275862,2008,0.216,0.277,75.258,0.362
58,3 DOORS DOWN,KRYPTONITE,"ALTERNATIVE,POST-GRUNGE,ALTERNATIVE ROCK,ROCK",3.0,53.0,26.71153846153846,2000,0.865,0.545,99.009,0.543
59,3 DOORS DOWN,LET ME GO,"ALTERNATIVE ROCK,ROCK",14.0,31.0,34.63333333333333,2005,0.833,0.372,184.383,0.502
60,3 DOORS DOWN,LOSER,"ROCK,ALTERNATIVE ROCK",55.0,20.0,67.1,2000,0.88,0.493,147.913,0.389
61,3 DOORS DOWN,WHEN I'M GONE,ROCK,4.0,45.0,26.162790697674417,2002,0.768,0.53,148.095,0.374
62,3 DOORS DOWN,WHEN YOU'RE YOUNG,ROCK,100.0,1.0,81.0,2011,0.778,0.462,77.004,0.219
63,311,LOVE SONG,"SKA,COVER,ROCK",59.0,20.0,74.42105263157895,2004,0.686,0.625,139.817,0.556
64,3LW,PLAYAS GON' PLAY,R&;B,81.0,7.0,87.0,2001,0.724,0.656,185.748,0.62
65,3OH!3,DEJA VU,"DANCE-POP,POP",100.0,1.0,75.0,2010,0.817,0.654,127.991,0.794
66,3OH!3,DON'T TRUST ME,"ELECTRONIC,POP,RAP",7.0,37.0,39.810810810810814,2008,0.448,0.516,89.682,0.494
67,3OH!3,DOUBLE VISION,"DANCE-POP,POP",87.0,4.0,88.75,2010,0.888,0.581,120.041,0.629
68,3OH!3,FOLLOW ME DOWN,"ELECTRO-POP,DANCE-POP,POP",89.0,2.0,89.0,2010,0.671,0.779,113.036,0.714
69,3OH!3,HIT IT AGAIN,POP,100.0,1.0,66.0,2010,0.767,0.462,86.551,0.685
70,3OH!3,I CAN DO ANYTHING,RAP,100.0,1.0,100.0,2010,0.906,0.54,169.94,0.438
71,3OH!3,SET YOU FREE,POP,100.0,1.0,84.0,2011,0.807,0.612,79.999,0.617
72,3OH!3,STARSTRUKK,RAP,66.0,12.0,78.33333333333333,2009,0.805,0.607,139.894,0.232
73,5 SECONDS OF SUMMER,AMNESIA,"AUSTRALIA,PUNK ROCK,POP-ROCK,POP,ROCK",16.0,20.0,52.5,2014,0.499,0.572,101.593,0.108
74,5 SECONDS OF SUMMER,DON'T STOP,"AUSTRALIA,PUNK ROCK,POP-ROCK,POP,ROCK",47.0,3.0,73.66666666666667,2014,0.979,0.296,175.075,0.311
75,5 SECONDS OF SUMMER,EASIER,"AUSTRALIA,POP",48.0,5.0,60.0,2019,0.566,0.633,77.582,0.616
76,5 SECONDS OF SUMMER,EVERYTHING I DIDN'T SAY,"AUSTRALIA,PUNK ROCK,POP-ROCK,POP,ROCK",100.0,1.0,24.0,2014,0.914,0.378,174.94,0.383
77,5 SECONDS OF SUMMER,FLY AWAY,"AUSTRALIA,POP-ROCK,POP,PUNK ROCK,ROCK",100.0,1.0,100.0,2015,0.887,0.432,92.531,0.513
78,5 SECONDS OF SUMMER,GIRLS TALK BOYS,"AUSTRALIA,POP",100.0,1.0,68.0,2016,0.777,0.828,120.04,0.867
79,5 SECONDS OF SUMMER,GOOD GIRLS,"AUSTRALIA,PUNK ROCK,POP-ROCK,POP,ROCK",34.0,2.0,59.5,2014,0.915,0.531,141.06,0.557
80,5 SECONDS OF SUMMER,JET BLACK HEART,"AUSTRALIA,POP-ROCK,POP,PUNK ROCK,ROCK",100.0,1.0,95.0,2015,0.85,0.507,153.957,0.545
81,5 SECONDS OF SUMMER,KISS ME KISS ME,"AUSTRALIA,PUNK ROCK,POP-ROCK,POP,ROCK",100.0,1.0,28.0,2014,0.235,0.67,134.932,0.757
82,5 SECONDS OF SUMMER,SHE LOOKS SO PERFECT,"AUSTRALIA,PUNK ROCK,POP-ROCK,POP,ROCK",24.0,20.0,52.6,2014,0.951,0.494,160.025,0.441
83,5 SECONDS OF SUMMER,SHE'S KINDA HOT,"AUSTRALIA,POP-ROCK,POP,PUNK ROCK,ROCK",22.0,9.0,49.0,2015,0.908,0.664,118.031,0.889
84,5 SECONDS OF SUMMER,WANT YOU BACK,"POP-ROCK,AUSTRALIA,ELECTRO-POP,POP",100.0,1.0,61.0,2018,0.347,0.613,109.764,0.25
85,5 SECONDS OF SUMMER,YOUNGBLOOD,"NEW WAVE,POP,SYNTH-POP,ELECTRO-POP,ALTERNATIVE POP,AUSTRALIA,POP-ROCK,ROCK",7.0,48.0,27.0,2018,0.854,0.596,120.274,0.152
86,50 CENT,21 QUESTIONS,RAP,1.0,23.0,16.217391304347824,2003,0.807,0.576,90.012,0.908
87,50 CENT,AYO TECHNOLOGY,"RAP,PRODUCER",5.0,20.0,23.05263157894737,2007,0.782,0.63,140.144,0.418
88,50 CENT,BABY BY ME,RAP,28.0,13.0,44.38461538461539,2009,0.827,0.611,190.058,0.355
89,50 CENT,CANDY SHOP,RAP,1.0,23.0,13.91304347826087,2005,0.574,0.614,125.173,0.755
90,50 CENT,DISCO INFERNO,RAP,3.0,29.0,14.642857142857142,2004,0.787,0.773,134.994,0.954
91,50 CENT,GET UP,RAP,44.0,9.0,67.33333333333333,2008,0.898,0.654,119.972,0.473
92,50 CENT,HUSTLER'S AMBITION,RAP,65.0,5.0,76.8,2005,0.737,0.604,88.243,0.683
93,50 CENT,I GET IT IN,RAP,53.0,2.0,65.5,2009,0.77,0.584,70.6,0.241
94,50 CENT,I GET MONEY,"SHADYXV,RAP,PRODUCER",20.0,14.0,63.142857142857146,2007,0.933,0.525,122.631,0.457
95,50 CENT,IF I CAN'T,"EAST COAST,RAP",76.0,8.0,81.375,2003,0.631,0.892,93.975,0.838
96,50 CENT,IN DA CLUB,"HIP-HOP,MEMES,PRODUCER,EAST COAST,GANGSTA RAP,SHADYXV,RAP",1.0,30.0,15.1,2003,0.72,0.902,90.059,0.805
97,50 CENT,MY LIFE,RAP,27.0,3.0,68.66666666666667,2012,0.932,0.646,176.111,0.518
98,50 CENT,NEW DAY,RAP,100.0,1.0,79.0,2012,0.92,0.384,90.017,0.228
99,50 CENT,OUTLAW,RAP,100.0,1.0,87.0,2011,0.889,0.693,79.996,0.756
100,50 CENT,OUTTA CONTROL,"REMIX,RAP",6.0,19.0,46.75,2005,0.587,0.77,92.009,0.574
101,50 CENT,P.I.M.P.,"GANGSTA RAP,CALYPSO,EAST COAST,SHADYXV,RAP",3.0,25.0,19.72,2003,0.758,0.7,78.693,0.889
102,50 CENT,PIGGY BANK,"BEEF,RAP",100.0,1.0,88.0,2005,0.845,0.48,79.374,0.872
103,50 CENT,STRAIGHT TO THE BANK,RAP,32.0,3.0,53.0,2007,0.846,0.642,179.548,0.519
104,50 CENT,THE INVITATION,RAP,100.0,1.0,97.0,2009,0.941,0.41,85.679,0.465
105,50 CENT,WANKSTA,"EAST COAST,SHADYXV,RAP",13.0,20.0,34.05263157894737,2002,0.861,0.807,81.006,0.876
106,50 CENT,WINDOW SHOPPER,"SCREEN,SOUNDTRACK,HARDCORE HIP-HOP,GANGSTA RAP,EAST COAST,HIP-HOP,RAP",20.0,11.0,44.18181818181818,2005,0.672,0.539,174.148,0.384
107,"50 CENT, OLIVIA",BEST FRIEND,RAP,35.0,15.0,56.53333333333333,2006,0.64,0.545,181.733,0.574
108,504 BOYZ,WOBBLE WOBBLE,RAP,17.0,18.0,56.22222222222222,1999,0.71,0.792,85.032,0.468
109,6LACK,PRBLMS,"ALTERNATIVE R&;B,TRAP,R&;B",72.0,8.0,86.125,2016,0.58,0.417,68.58,0.139
110,6LACK,PRETTY LITTLE FEARS,"R&;B,RAP",100.0,1.0,76.0,2018,0.458,0.61,192.099,0.246
111,6IX9INE,BEBE,"PUERTO RICO,RAP,LATIN URBAN,POP,REGGAETON,EN ESPA\XC3\XB1OL,LATIN MUSIC",30.0,5.0,68.6,2018,0.665,0.75,95.239,0.697
112,6IX9INE,BILLY,"TRAP METAL,METALRAP,TRAP,RAP ROCK,GANGSTA RAP,HIP-HOP,NU-METAL,SCREAMO,RAP",50.0,8.0,62.5,2018,0.711,0.764,90.076,0.774
113,6IX9INE,FEFE,"HIP-HOP,POP,TRAP,RAP",3.0,20.0,17.15,2018,0.387,0.931,125.978,0.375
114,6IX9INE,GOTTI,"R&;B,HIP-HOP,EAST COAST,CLOUD RAP,TRAP,RAP",100.0,1.0,99.0,2018,0.646,0.817,162.898,0.835
115,6IX9INE,GUMMO,"CLOUD RAP,HARDCORE HIP-HOP,HIP-HOP,TRAP,RAP,EAST COAST",12.0,20.0,29.842105263157894,2017,0.775,0.66,157.036,0.635
116,6IX9INE,KIKA,"TRAP,R&;B,CANADA,EAST COAST,RAP",44.0,6.0,69.83333333333333,2018,0.715,0.745,94.511,0.342
117,6IX9INE,KOODA,"GANGSTA RAP,HARDCORE HIP-HOP,TRAP,EAST COAST,BEEF,RAP",50.0,9.0,70.875,2017,0.631,0.755,182.389,0.198
118,6IX9INE,MAMA,"POP,MOTOWN,TRAP,RAP",43.0,4.0,69.0,2018,0.492,0.543,220.099,0.107
119,6IX9INE,RONDO,"HARDCORE HIP-HOP,CANADA,TRAP,RAP",100.0,1.0,73.0,2018,0.88,0.722,92.024,0.79
120,6IX9INE,STOOPID,"HARDCORE HIP-HOP,EAST COAST,TRAP,RAP",25.0,9.0,65.77777777777777,2018,0.63,0.733,149.991,0.833
